-82.00 -59.50   6.4
-81.50 -59.50   6.5
-81.00 -59.50   6.5
-80.50 -59.50   6.3
-80.00 -59.50   6.1
-79.50 -59.50   5.9
-79.00 -59.50   5.7
-78.50 -59.50   5.5
-78.00 -59.50   5.2
-77.50 -59.50   5.0
-77.00 -59.50   4.8
-76.50 -59.50   4.6
-76.00 -59.50   4.2
-75.50 -59.50   3.8
-75.00 -59.50   3.3
-74.50 -59.50   3.2
-74.00 -59.50   3.2
-73.50 -59.50   3.0
-73.00 -59.50   2.8
-72.50 -59.50   2.7
-72.00 -59.50   2.7
-71.50 -59.50   2.6
-71.00 -59.50   2.5
-70.50 -59.50   2.4
-70.00 -59.50   2.2
-69.50 -59.50   2.0
-69.00 -59.50   1.8
-68.50 -59.50   1.7
-68.00 -59.50   1.5
-67.50 -59.50   1.4
-67.00 -59.50   1.2
-66.50 -59.50   1.1
-66.00 -59.50   1.0
-65.50 -59.50   1.0
-65.00 -59.50   0.9
-64.50 -59.50   1.0
-64.00 -59.50   1.1
-63.50 -59.50   1.2
-63.00 -59.50   1.4
-62.50 -59.50   1.5
-62.00 -59.50   1.6
-61.50 -59.50   1.8
-61.00 -59.50   2.0
-60.50 -59.50   2.6
-60.00 -59.50   3.6
-59.50 -59.50   4.2
-59.00 -59.50   4.2
-58.50 -59.50   4.2
-58.00 -59.50   4.0
-57.50 -59.50   3.5
-57.00 -59.50   3.4
-56.50 -59.50   3.4
-56.00 -59.50   3.4
-55.50 -59.50   3.2
-55.00 -59.50   3.0
-54.50 -59.50   2.9
-54.00 -59.50   3.0
-53.50 -59.50   3.0
-53.00 -59.50   3.1
-52.50 -59.50   3.1
-52.00 -59.50   2.8
-51.50 -59.50   2.7
-51.00 -59.50   2.5
-50.50 -59.50   2.3
-50.00 -59.50   2.2
-49.50 -59.50   2.1
-49.00 -59.50   2.0
-48.50 -59.50   1.9
-48.00 -59.50   1.9
-47.50 -59.50   1.8
-47.00 -59.50   1.7
-46.50 -59.50   1.6
-46.00 -59.50   1.5
-45.50 -59.50   1.2
-45.00 -59.50   1.0
-44.50 -59.50   0.9
-44.00 -59.50   0.7
-43.50 -59.50   0.7
-43.00 -59.50   0.6
-42.50 -59.50   0.7
-42.00 -59.50   0.7
-41.50 -59.50   0.7
-41.00 -59.50   0.8
-40.50 -59.50   0.7
-40.00 -59.50   0.6
-39.50 -59.50   0.5
-39.00 -59.50   0.5
-38.50 -59.50   0.5
-38.00 -59.50   0.5
-37.50 -59.50   0.6
-37.00 -59.50   0.6
-36.50 -59.50   0.5
-36.00 -59.50   0.6
-35.50 -59.50   0.6
-35.00 -59.50   0.7
-34.50 -59.50   0.8
-34.00 -59.50   0.8
-33.50 -59.50   0.9
-33.00 -59.50   0.9
-32.50 -59.50   1.0
-32.00 -59.50   1.2
-31.50 -59.50   1.5
-31.00 -59.50   1.8
-30.50 -59.50   2.1
-30.00 -59.50   2.3
-29.50 -59.50   2.7
-29.00 -59.50   3.0
-28.50 -59.50   3.3
-28.00 -59.50   3.5
-27.50 -59.50   3.5
-27.00 -59.50   3.5
-26.50 -59.50   3.5
-26.00 -59.50   3.5
-25.50 -59.50   3.4
-25.00 -59.50   3.4
-24.50 -59.50   3.4
-24.00 -59.50   3.6
-23.50 -59.50   3.9
-23.00 -59.50   4.1
-22.50 -59.50   4.3
-22.00 -59.50   4.4
-21.50 -59.50   4.5
-21.00 -59.50   4.5
-20.50 -59.50   4.6
-20.00 -59.50   4.7
-100.00 -59.00   3.7
-99.50 -59.00   3.9
-99.00 -59.00   4.3
-98.50 -59.00   4.6
-98.00 -59.00   4.8
-97.50 -59.00   4.9
-97.00 -59.00   5.1
-96.50 -59.00   5.3
-96.00 -59.00   5.6
-95.50 -59.00   6.0
-95.00 -59.00   6.5
-94.50 -59.00   6.8
-94.00 -59.00   6.9
-93.50 -59.00   6.9
-93.00 -59.00   6.9
-92.50 -59.00   6.9
-92.00 -59.00   6.8
-91.50 -59.00   6.7
-91.00 -59.00   6.4
-90.50 -59.00   6.3
-90.00 -59.00   6.4
-89.50 -59.00   6.5
-89.00 -59.00   6.8
-88.50 -59.00   7.1
-88.00 -59.00   7.2
-87.50 -59.00   7.1
-87.00 -59.00   7.0
-86.50 -59.00   6.9
-86.00 -59.00   6.9
-85.50 -59.00   6.8
-85.00 -59.00   6.8
-84.50 -59.00   6.7
-84.00 -59.00   6.7
-83.50 -59.00   6.8
-83.00 -59.00   6.7
-82.50 -59.00   6.7
-82.00 -59.00   6.6
-81.50 -59.00   6.5
-81.00 -59.00   6.3
-80.50 -59.00   6.1
-80.00 -59.00   6.0
-79.50 -59.00   5.9
-79.00 -59.00   5.7
-78.50 -59.00   5.6
-78.00 -59.00   5.5
-77.50 -59.00   5.3
-77.00 -59.00   5.0
-76.50 -59.00   4.7
-76.00 -59.00   4.3
-75.50 -59.00   4.0
-75.00 -59.00   3.7
-74.50 -59.00   3.7
-74.00 -59.00   3.6
-73.50 -59.00   3.4
-73.00 -59.00   3.2
-72.50 -59.00   3.1
-72.00 -59.00   3.0
-71.50 -59.00   2.9
-71.00 -59.00   2.9
-70.50 -59.00   2.7
-70.00 -59.00   2.6
-69.50 -59.00   2.4
-69.00 -59.00   2.2
-68.50 -59.00   2.0
-68.00 -59.00   1.7
-67.50 -59.00   1.6
-67.00 -59.00   1.4
-66.50 -59.00   1.3
-66.00 -59.00   1.2
-65.50 -59.00   1.1
-65.00 -59.00   1.1
-64.50 -59.00   1.1
-64.00 -59.00   1.1
-63.50 -59.00   1.1
-63.00 -59.00   1.1
-62.50 -59.00   1.2
-62.00 -59.00   1.4
-61.50 -59.00   1.5
-61.00 -59.00   1.9
-60.50 -59.00   2.6
-60.00 -59.00   3.3
-59.50 -59.00   3.6
-59.00 -59.00   4.0
-58.50 -59.00   4.0
-58.00 -59.00   3.8
-57.50 -59.00   3.4
-57.00 -59.00   3.0
-56.50 -59.00   2.9
-56.00 -59.00   2.9
-55.50 -59.00   3.0
-55.00 -59.00   3.1
-54.50 -59.00   3.4
-54.00 -59.00   3.7
-53.50 -59.00   3.8
-53.00 -59.00   4.0
-52.50 -59.00   3.9
-52.00 -59.00   3.7
-51.50 -59.00   3.3
-51.00 -59.00   2.8
-50.50 -59.00   2.5
-50.00 -59.00   2.3
-49.50 -59.00   2.2
-49.00 -59.00   2.2
-48.50 -59.00   2.2
-48.00 -59.00   2.0
-47.50 -59.00   1.9
-47.00 -59.00   1.9
-46.50 -59.00   1.8
-46.00 -59.00   1.8
-45.50 -59.00   1.7
-45.00 -59.00   1.4
-44.50 -59.00   1.3
-44.00 -59.00   1.2
-43.50 -59.00   1.0
-43.00 -59.00   0.8
-42.50 -59.00   0.8
-42.00 -59.00   0.8
-41.50 -59.00   0.8
-41.00 -59.00   0.9
-40.50 -59.00   1.0
-40.00 -59.00   1.0
-39.50 -59.00   0.9
-39.00 -59.00   0.8
-38.50 -59.00   0.8
-38.00 -59.00   0.7
-37.50 -59.00   0.7
-37.00 -59.00   0.6
-36.50 -59.00   0.6
-36.00 -59.00   0.6
-35.50 -59.00   0.6
-35.00 -59.00   0.7
-34.50 -59.00   0.7
-34.00 -59.00   0.7
-33.50 -59.00   0.8
-33.00 -59.00   0.9
-32.50 -59.00   0.9
-32.00 -59.00   1.0
-31.50 -59.00   1.2
-31.00 -59.00   1.5
-30.50 -59.00   1.8
-30.00 -59.00   2.2
-29.50 -59.00   2.5
-29.00 -59.00   2.7
-28.50 -59.00   2.9
-28.00 -59.00   2.8
-27.50 -59.00   2.9
-27.00 -59.00   2.9
-26.50 -59.00   2.8
-26.00 -59.00   2.7
-25.50 -59.00   2.6
-25.00 -59.00   2.6
-24.50 -59.00   2.8
-24.00 -59.00   2.9
-23.50 -59.00   3.0
-23.00 -59.00   3.3
-22.50 -59.00   3.5
-22.00 -59.00   3.6
-21.50 -59.00   3.7
-21.00 -59.00   3.9
-20.50 -59.00   4.1
-20.00 -59.00   4.3
-100.00 -58.50   4.0
-99.50 -58.50   4.3
-99.00 -58.50   4.5
-98.50 -58.50   4.7
-98.00 -58.50   5.0
-97.50 -58.50   5.4
-97.00 -58.50   5.8
-96.50 -58.50   6.2
-96.00 -58.50   6.6
-95.50 -58.50   6.8
-95.00 -58.50   7.0
-94.50 -58.50   7.1
-94.00 -58.50   7.0
-93.50 -58.50   7.0
-93.00 -58.50   6.9
-92.50 -58.50   6.8
-92.00 -58.50   6.6
-91.50 -58.50   6.7
-91.00 -58.50   6.8
-90.50 -58.50   7.0
-90.00 -58.50   7.2
-89.50 -58.50   7.2
-89.00 -58.50   7.2
-88.50 -58.50   7.1
-88.00 -58.50   6.9
-87.50 -58.50   6.9
-87.00 -58.50   6.8
-86.50 -58.50   6.8
-86.00 -58.50   6.8
-85.50 -58.50   6.9
-85.00 -58.50   6.9
-84.50 -58.50   7.0
-84.00 -58.50   7.0
-83.50 -58.50   6.9
-83.00 -58.50   6.8
-82.50 -58.50   6.7
-82.00 -58.50   6.5
-81.50 -58.50   6.5
-81.00 -58.50   6.3
-80.50 -58.50   6.2
-80.00 -58.50   6.1
-79.50 -58.50   6.1
